length_title,length_description,category,caption,licensedContent,privacyStatus,view_count,like_count,comment_count,channel_view_count,channel_sub_count,channel_video_count,channel_country,days_online,published_month,duration_sec
39,0,Entertainment,False,True,public,3617300,240032,7944,922644628,1200000,763,NO,288,4,21
60,557,Entertainment,False,False,public,644446,21287,115,489000955,768000,1755,US,507,9,11
34,431,Travel & Events,False,True,public,70402729,2195631,12727,7281152463,13000000,1306,US,424,11,59
48,494,Education,False,True,public,647336,19325,210,489000955,768000,1755,US,994,5,40
71,3518,Science & Technology,True,True,public,401698,7781,261,1300020306,5060000,3977,US,1932,10,353
30,1869,People & Blogs,False,True,public,558362,10544,444,489000955,768000,1755,US,1530,11,407
46,629,Entertainment,False,True,public,420067,14225,167,69696954,182000,709,US,340,2,17
57,1109,Sports,False,True,public,258513,3243,90,3902712656,10900000,3818,US,2722,8,163
76,940,People & Blogs,False,True,public,35624360,407845,506,70730367,117000,285,US,239,5,12
60,932,Pets & Animals,False,True,public,2425485,2844,172,4657623397,12500000,2593,GB,2880,3,228
88,0,People & Blogs,False,True,public,9549493,666256,1175,54887667,35900,24,US,228,6,56
56,445,Entertainment,False,True,public,191585,1779,62,922644628,1200000,763,NO,267,4,188
46,497,Entertainment,False,True,public,4298556,122275,1078,489000955,768000,1755,US,797,11,24
39,880,Sports,False,True,public,2172631,39581,152,506802494,967000,541,BE,229,6,17
25,139,People & Blogs,False,False,public,34100,368,22,847076,2700,12,GB,2800,5,972
41,81,Comedy,False,True,public,220785574,2592639,1545,2462985422,2720000,171,US,828,10,13
56,330,Education,False,True,public,1617315,24912,163,33113448,114000,129,CA,714,2,160
27,0,Entertainment,False,True,public,889639,45803,268,366157305,696000,619,US,447,11,55
74,1407,Howto & Style,True,True,public,7596713,159894,3127,36246265,317000,378,CZ,1017,4,458
31,923,People & Blogs,False,True,public,4366205,233121,525,268313894,697000,304,US,559,7,22
76,0,Entertainment,False,True,public,131615,7067,51,56628532,144000,322,AU,177,7,45
19,737,People & Blogs,False,True,public,288932,9277,43,7462915,28600,104,CA,436,11,46
26,44,People & Blogs,False,True,public,4599329,328400,749,7614602462,14000000,805,US,808,11,23
41,0,Entertainment,False,True,public,639649,22255,321,366157305,696000,619,US,303,3,47
70,589,Education,False,True,public,1525416,25969,273,33113448,114000,129,CA,1077,2,135
92,0,Entertainment,False,True,public,884684,63520,194,56628532,144000,322,AU,460,10,59
100,4217,Howto & Style,True,True,public,149741,1610,47,2935742,25300,55,JP,668,3,278
58,946,Education,False,True,public,532280,7485,43,33113448,114000,129,CA,411,12,155
22,939,People & Blogs,False,True,public,536259,21653,49,7462915,28600,104,CA,360,1,52
19,0,Entertainment,False,True,public,556256,48875,214,56628532,144000,322,AU,191,7,21
62,632,Howto & Style,False,True,public,1662350,54548,1900,7710013,62100,51,GB,1399,3,699
42,200,People & Blogs,False,False,public,126589,496,14,1223000,1900,47,US,2470,4,19
30,0,Howto & Style,False,True,public,1126127,57160,181,6130480,59100,113,TW,268,4,30
70,537,Education,False,True,public,662154,8048,145,33113448,114000,129,CA,405,12,121
26,242,People & Blogs,False,True,public,135480458,6656297,6443,463555069,325000,554,US,950,6,25
28,916,Film & Animation,False,True,public,13908,3313,274,288600453,677000,1584,DE,1,1,4286
68,1123,Film & Animation,False,True,public,45225110,287165,0,382374181,1030000,743,US,1905,11,113
39,1146,Film & Animation,False,True,public,1515248,20831,0,92566185,279000,637,US,1304,6,1285
45,628,Gaming,False,True,public,3266,234,29,103689407,305000,1489,US,1,1,579
86,1694,Gaming,False,True,public,12025465,122555,3225,1009479129,1890000,1804,CA,1184,10,740
91,1702,Gaming,False,True,public,4659,332,49,1009479129,1890000,1804,CA,1,1,736
42,574,Entertainment,False,False,public,844961,60400,0,4899326,24500,80,FR,656,4,60
67,1132,Sports,False,True,public,533,123,19,87962808,222000,4580,BR,1,1,171
60,1486,Film & Animation,False,True,public,2833700,57422,0,92566185,279000,637,US,910,7,1317
